"","zmax","zmean","zsd","zskew","zkurt","zentropy","pzabovezmean","pzabove2","zq5","zq10","zq15","zq20","zq25","zq30","zq35","zq40","zq45","zq50","zq55","zq60","zq65","zq70","zq75","zq80","zq85","zq90","zq95","zpcum1","zpcum2","zpcum3","zpcum4","zpcum5","zpcum6","zpcum7","zpcum8","zpcum9"
"11",42.71,16.5584715928713,5.79920777264287,0.0278545208151017,3.88273104788894,0.833402074979505,52.2285128248061,99.131408478709,6.41,8.84,10.41,11.9,13.21,14.36,15.08,15.69,16.27,16.79,17.42,18,18.54,19.21,20,20.93,22.21,23.46,25.64,2.40277952195571,9.16635271463854,23.5893088869354,52.343128636611,82.0722926870108,94.9788605634392,98.9639583071707,99.3647703964168,99.818954330445
"12",39.59,23.2107692002145,11.3273232971475,-0.706557523050901,2.1591819782377,0.946372306825162,60.6800262159639,94.3864074199122,1.75,3.87,6.84,10.43,14.88,18.19,21.73,23.47,25.15,27.16,28.59,29.82,30.81,31.72,32.47,33.26,34.14,35.11,36.04,10.2004945333214,16.3126483351705,21.5380184903824,26.2440293542269,32.129770310126,40.81488763766,52.1027596548197,69.7629616389112,92.9543897280067
"13",39.91,23.427920616292,8.90590789652907,-0.952158611167469,3.34085328402527,0.9244062753832,60.29911829316,96.2143781408925,3.09,8.78,13.818,17.82,19.62,21.01,22.19,23.53,24.71,25.57,26.42,27.1,27.83,28.72,29.56,30.47,31.55,32.85,34.82,5.65848471777793,8.99479391319176,13.5518752946605,17.3114925118617,26.2651593423679,41.6216107773019,65.609734078302,86.3889418302555,96.4650770882025
"14",49.41,20.3904701801715,12.6588963506224,-0.307235957711763,1.84256780405196,0.905749906532133,60.6811831583004,85.4802967530591,0.42,1.2,2.1,3.5,7.46,11.96,17.3015,20.81,22.72,23.94,25.02,25.89,26.94,28.1,29.64,31.49,33.6,36.1,38.68,22.1950303018624,27.6146797830213,32.7606971837093,38.3557024347474,53.3293508946035,75.0050583395157,86.7432964957751,97.9150006262706,99.816936284192
"15",37.35,15.4671101897918,10.8822360286425,0.251957948602009,1.727949566697,0.962820089435525,45.5831951354339,87.893864013267,0.38,1.41,2.88,4.47,6.07,7.43,8.88,10.18,11.78,13.72,15.74,17.79,19.8885000000001,22.79,25.76,28.35,29.99,31.45,32.76,17.8518122685143,30.1461239381599,43.2862223368774,53.1905876282961,62.1699312683116,69.3379277303801,75.7356870404835,84.6302677403306,97.3041699681218
"16",52.24,33.4848201591964,9.18557858071644,-1.1543330356797,5.58931815947759,0.870261070066006,51.7728685140254,98.1909504958924,16.72,24.045,27.14,28.63,29.52,30.36,31.24,32.1,32.93,33.77,34.7,35.77,37.05,38.27,39.42,40.55,42.06,44.36,47.19,2.42204959029477,3.45003724592955,4.57592848781526,7.22358199425348,12.6785144194956,35.5453868255826,62.9988294136427,84.4269447696073,94.6663828881558
"17",35.66,19.1625869204092,9.11693491669885,-0.32292688697866,2.17918707889013,0.976294248665674,55.245825197447,96.1501471745403,2.72,5.33,7.83,10.16,12.47,14.74,16.49,18.08,19.22,20.08,20.97,21.95,23.5,25.27,26.71,27.93,29.39,30.67,32.45,6.41457194899818,13.5985428051002,21.5635701275046,29.111839708561,39.0193078324226,57.2648451730419,69.0520947176685,82.3271402550091,93.9978142076503
"18",38.69,15.594177650631,12.4064379151604,0.105384325006837,1.52445746192058,0.912131361640574,49.2532074345789,74.0351369850992,0.1,0.3,0.64,1.1,1.81,3.32,6.6,10.18,12.792,15.12,18.51,21.03,23.15,25.25,27.51,29.03,30.57,31.99,34.19,30.9990171300197,36.7400308901994,42.4740241505195,50.5616399887672,56.3851446222971,65.1484835720303,74.0311710193766,86.3907610221848,96.0404380791912
"19",40.33,24.1392780014641,7.71556095547508,-0.831319626961538,4.28130774359903,0.887885222085011,50.4585570196844,97.9044655929722,7.33,14.88,18.25,20.17,21.22,21.87,22.42,22.97,23.58,24.19,25,26.3,27.18,28.04,28.91,29.99,31.34,33.67,35.71,2.91506949598886,5.51494138341247,7.60541326473549,11.3877845675184,19.986578682474,50.0401622759301,71.0882451627335,87.9889375807058,95.856676597086
"20",39.39,18.1753533489377,8.81941647874477,0.192714858380366,2.65011088441422,0.947282844423099,50.6391789701116,97.3375045012604,4.02,6.43,8.44,10.18,11.81,13.32,14.92,16.29,17.37,18.28,19.12,20.01,20.93,21.95,23.79,25.45,26.76,29.72,35.27,4.85696923319304,13.3397852850487,25.036573563503,37.9217213206995,58.4996961580878,74.6708379284734,87.5289775156985,90.7992167630708,95.2510634466926
"21",40.94,20.0997574072131,8.51768428967239,-0.516710281266841,2.77474890014922,0.923110200462095,57.7395319550845,96.2325532584741,3.06,7.16,9.74,12.53,15,16.66,18.18,19.51,20.78,21.9,23.01,23.928,24.64,25.33,26,26.89,27.97,29.02,30.87,6.13226523009113,11.7572980252917,19.2835779126511,29.1903520892729,43.6867052629738,64.467493397233,88.2811816766656,96.0873139418956,98.4118377555839
"22",58.23,20.0534553117946,11.4657857742501,0.28977671436197,3.18716347095651,0.88349368300262,57.1000282167043,95.0391506772009,2.02,3.78,5.65,7.64,10.59,13.51,16.79,19.03,20.72,22.04,23.23,24.16,25,25.98,26.8425000000001,27.94,29.0355,30.33,38.0585,15.5318060772799,26.8839391213869,36.5148228488792,55.3674408761441,85.3693808087755,92.8046135125126,95.2436379027565,96.4693226107966,99.6419942507451
