"","zmax","zmean","zsd","zskew","zkurt","zentropy","pzabovezmean","pzabove2","zq5","zq10","zq15","zq20","zq25","zq30","zq35","zq40","zq45","zq50","zq55","zq60","zq65","zq70","zq75","zq80","zq85","zq90","zq95","zpcum1","zpcum2","zpcum3","zpcum4","zpcum5","zpcum6","zpcum7","zpcum8","zpcum9"
"11",43.22,14.3475914401136,7.41026911969584,-0.0090247402735136,2.51880720479925,0.880177841738401,53.819558175929,95.3451978017979,2.13,3.7,5.22,6.71,8.45,9.92,11.32,12.93,14.07,15.17,16.06,17.04,17.98,18.84,19.97,21.16,22.13,23.33,25.26,12.0395981947882,25.6405590333382,40.1295676226525,61.2388994031155,82.1444169456981,96.1821225797059,99.2393361479109,99.55961566458,99.730674042801
"12",39.22,23.2478868156768,11.1272553807411,-0.771260833628059,2.32217742151827,0.941972550785311,61.9436596077992,92.8749265672644,1.03,3.826,7.98,11.71,15.32,18.82,21.76,23.88,25.67,27.23,28.46,29.43,30.4,31.26,32.05,32.88,33.83,34.79,35.97,10.1270072175908,14.8659989928943,20.0581883287641,25.6336373300509,31.1783136574722,38.947015050635,50.9063951211324,70.7072119957478,92.3348066916578
"13",39.49,22.3931679206566,9.04867057693039,-0.704136280336792,2.8215482299897,0.946220176249631,58.0848153214774,96.6176470588235,3.46,7.94,12.1,14.98,17.5,19.137,20.6365,21.91,23.03,24.14,25.24,26.25,27.12,28.08,29,29.99,31.13,32.62,34.5705,5.47556345976265,9.94562057525907,14.6892848592633,21.5944457744793,32.0564998802969,48.041998700366,67.6493724135572,86.6890112520948,96.7406546051507
"14",49.47,24.9826107899807,9.02554699171074,-0.833086021541261,3.71172001495722,0.884575466469721,59.4343517753922,96.7382328654005,4.86,12.1,16.17,19.34,21.25,22.69,23.8,24.89,25.69,26.44,27.13,27.71,28.4695,29.27,30.23,31.774,33.5,35.54,38.1,5.04077349206895,8.18566562295702,13.1817087017858,21.1712486666896,39.3077108350824,72.2637029900561,87.8195643945911,97.9389601899322,99.9002167704642
"15",44.71,17.3441101790977,9.63368708198136,0.0725595884247366,1.85631382798643,0.931952976163448,48.576610421997,96.0229296887651,2.568,4.8,6.56,7.84200000000001,9.04,10.35,11.82,13.32,14.89,16.73,19,21.14,22.52,23.89,25.23,27.01,29.03,30.82,32.52,9.23694779116466,24.60810985879,40.2837155071901,52.6039642440731,64.3703847648659,79.4630133436974,91.2844928099495,99.3813965539578,99.9935224770048
"16",52.15,31.8761623999807,9.86879821097393,-1.01390994128989,4.74013815675072,0.887544177043521,54.6353373461938,97.5753620035294,11.123,20.21,24.11,26.91,28.22,29.21,30.07,30.98,31.82,32.57,33.36,34.27,35.35,36.792,38.11,39.42,40.65,43.1340000000001,46.74,3.20553111250786,4.70192912053377,6.88488130348595,10.7914712565875,17.9229318764203,41.6864091282696,69.0277039114248,87.8886041676739,95.3440023207465
"17",37.52,17.699862735299,9.92845129279728,-0.115303588054508,2.00485500178005,0.975175514322973,53.51990671331,92.1739130434783,0.93,2.8,5.21,7.768,9.89,11.702,13.73,15.72,17.24,18.61,19.727,20.73,21.88,23.71,25.76,27.31,29.57,31.16,33.06,12.1043513027254,19.4142733391084,29.1197441194109,38.2454854401279,50.7096688212168,67.3718931165456,76.4409942027054,86.293063237156,96.8414739788099
"18",50.54,24.3012763882334,9.48682700549405,-0.88858493021645,3.10684728417062,0.876846804377971,58.7383986156992,95.6457448481988,2.892,10.42,14.22,16.998,18.8,20.61,22.3,23.98,25.3,26.6,27.73,28.78,29.79,30.7,31.67,32.63,33.484,34.6460000000001,35.89,6.44349358167632,9.73760382582431,16.6215706015605,29.146740498364,44.9251195570098,67.9870375031462,92.9713063176441,99.9590989176944,99.9590989176944
"19",40.88,21.8910810550635,8.21593959956025,-0.683912674348753,3.41293387709098,0.913591758675287,56.3992106276473,96.8545437042742,4.53,9.87100000000001,13.63,16.39,18.52,19.82,20.7,21.48,22.06,22.66,23.31,24.12,25.21,26.27,27.48,28.45,29.54,31.11,34.1145,4.68340112151332,8.44023007869847,13.0634641765541,19.9297249163678,33.3830714062237,61.8348535534644,80.9751871194436,92.8738177179851,98.2094293759476
"20",39.79,15.9064817161082,9.07892937871171,0.311767566559111,2.63597138850026,0.947704880689044,51.4198960199222,94.4121630477522,1.79,3.62,5.28,7.12,8.69,10.69,12.59,14.01,15.16,16.22,17.1935,17.93,18.61,19.62,20.88,23.17,25.36,27.713,33.7915,11.0120803023352,22.7384931297376,33.3508093584114,48.6379622954759,71.1907726587588,81.4907049391616,90.2134259562662,93.3438189483802,97.2824781003561
"21",40.4,20.6885868924269,9.05851237306472,-0.639426689581753,2.80919370104649,0.920291974068915,59.0009266279168,94.3602055429197,1.63,6.2,10.02,13.29,15.36,17.17,18.83,20.33,21.97,23.23,24.2,24.87,25.51,26.15,26.92,27.8,28.76,29.74,33.1195,7.83454782865086,12.5984583631692,17.8004296364938,27.3198264605535,39.6276483720147,55.2082894570574,82.641843224801,94.4989680299903,97.7802114485489
"22",58.69,18.9692358578577,11.155611982442,0.073250200746627,3.01728506203584,0.859194003218416,59.2210160291748,90.3740140785345,0.96,2.09,3.51,5.95,9.93,13.259,16.37,18.73,20.22,21.51,22.7,23.67,24.53,25.48,26.35,27.28,28.38,29.417,33.5,19.8863515891695,27.850221571995,37.5760659839281,58.8957445455124,89.6698683289867,95.5367555074953,97.1269851366537,97.7736785191782,99.8176536691898
