"","zmax","zmean","zsd","zskew","zkurt","zentropy","pzabovezmean","pzabove2","zq5","zq10","zq15","zq20","zq25","zq30","zq35","zq40","zq45","zq50","zq55","zq60","zq65","zq70","zq75","zq80","zq85","zq90","zq95","zpcum1","zpcum2","zpcum3","zpcum4","zpcum5","zpcum6","zpcum7","zpcum8","zpcum9"
"41",37.11,18.6928291559563,10.0297439018874,-0.25937763010237,1.78491859473572,0.966436501927008,53.8066702885918,94.7819952482505,1.891,4.19,6.12,7.85,9.62,11.61,13.99,16.29,18.23,20.31,21.94,23.52,25.21,26.74,27.85,28.88,29.55,30.52,32.28,9.07948297951704,18.7128006357341,28.7629133487942,36.6293118827135,45.8579977619565,56.2421952287508,67.3991664098863,86.0292567425115,97.2462334376672
"42",40.57,24.0910674032741,10.286582061939,-0.516812115257413,2.33171427606247,0.961405419265087,54.8399911311481,97.8105021987362,4.36,8.24,11.93,14.79,17.58,19.07,20.68,22.33,24.04,25.445,26.92,28.59,29.84,31.21,32.95,34.38,35.64,36.57,37.7,4.47234463198544,9.88978502074037,15.2924438531822,22.2296130003788,33.4497380892991,45.9392293266077,59.3137662481639,73.9345731363691,89.6639967480576
"43",35.83,20.2933822173358,9.96678684542621,-0.767071432180457,2.16393443400415,0.915882538635387,62.1081004397787,93.5079443892751,1.55,3.16,5.05,8.87,12.8,16.3,18.97,21.44,23.13,24.31,25.29,26.17,27.07,27.85,28.49,29,29.47,30.02,30.71,11.3013486075029,18.5355949034872,22.1026218490375,27.6406905296011,32.5394784674995,40.1133149499481,54.0045928907725,76.5629571832634,98.7347383914242
"44",46.16,22.0217993575374,12.2961138709581,0.0377267028682483,2.00914249935034,0.979459037630244,50.9336507129486,96.1845115666382,2.76,4.72,6.88,9.27,11.81,14.87,16.86,18.72,20.49,22.345,24.19,25.56,26.74,28.46,30.55,34.56,37.26,40.02,42.1,9.7133150760911,19.9131047711489,28.0780208225003,39.1814284558764,51.9788308431842,68.0498260939901,77.3355981557874,84.1924636877318,93.8480026808103
"45",41.79,13.6284533012954,8.67104596170403,0.362322759983852,2.27931852715947,0.915351181518859,49.4345486836607,93.163654408692,1.47,2.79,3.78,4.78,5.87,7.2,8.59,10.15,11.83,13.45,14.92,16.0300000000001,17.19,18.42,19.64,21.01,22.98,26.6,29.63,17.0904342148221,34.1116552399608,47.2425726412014,63.0871694417238,79.6043095004897,88.37740777016,94.1900097943193,99.7140058765916,99.7140058765916
"46",35.67,18.3768082615162,9.23009961023215,-0.356835128514443,2.09536364500764,0.968010397566149,58.0025527156887,95.9040516450249,2.37,4.04,5.62,7.89,11.01,13.87,16.15,17.93,19.04,20,21.18,22.25,23.45,24.46,25.4600000000001,26.4,27.52,29.03,32.15,8.33131151172481,18.72804565449,24.3504678319392,30.6807033829471,39.5890252006878,56.1313937910737,72.4617348284265,88.6211879872151,94.8723087796285
"47",37.8,19.0727052946494,8.50851188039068,-0.530290584348196,2.38941112171985,0.941109825610251,58.5897089387401,95.6662348434719,2.58,6.09,8.73,10.85,12.74,15.03,16.81,18.57,20.02,21.05,22.17,22.96,23.69,24.55,25.57,26.62,27.62,28.82,30.272,6.74122745701104,12.6669462696305,21.1771284775619,30.1896640104385,40.9003215434084,58.1061559252528,79.1453469406776,94.9130900787548,99.0512139428678
"48",39.06,23.112011273491,6.69435627321484,-0.788443454776125,4.03682512601322,0.880097242051033,54.610052558843,99.0663460178243,10.33,14.79,16.84,18.62,19.83,20.77,21.62,22.41,23.06,23.72,24.37,25.08,25.8,26.59,27.55,28.5,29.55,31.19,33.08,1.60398711587011,3.58122225124053,6.26033777313485,11.6566553495256,23.5265952816227,47.8149212152868,73.9205188473927,90.1127361365021,98.770349090276
"49",53.87,27.3480271786597,8.43393668075326,0.44101508457289,5.31952837041034,0.787908342083485,39.1381581869051,98.775776057318,15.606,21.06,22.71,23.34,23.85,24.28,24.71,25.16,25.65,26.16,26.66,27.25,27.74,28.32,28.95,29.84,33.962,38.4,46.27,1.81489815253434,3.10279488394126,5.34699194694458,11.084793936523,57.3809805779252,83.183325438181,89.3415442918048,91.4066200852676,97.2717314069162
"50",53.37,25.2901594818978,8.23700006472563,-0.612902971970601,4.77942124063992,0.837928296656452,53.1140338364098,97.6833756526205,7.6,15.97,19.85,21.32,22.21,22.93,23.72,24.41,25.07,25.68,26.29,26.91,27.62,28.52,29.38,30.67,32.17,34.39,38.52,3.78168642387412,6.52772428353376,10.0326671516811,20.1295273961855,58.2545184804782,84.6164819332107,93.5065120326386,98.7617865650989,99.5435157843683
"51",39.97,21.9929204496576,12.5725199372195,-0.556740792382859,1.85371617449919,0.935506172748573,58.6275444368236,87.8192534381139,0.46,1.46,2.79,5.71,10.56,16.12,19.33,21.53,23.47,25.54,27.86,29.82,31.22,32.19,33.01,33.6,34.19,35.11,36.63,17.9539641943734,22.5203441060219,26.1043943269007,29.8418972332016,36.3822366891421,45.9486166007905,55.2662171588003,68.8502673796791,93.1388049290863
"52",40.58,24.093946462527,10.0591341688549,-1.07485433843842,3.26390105164663,0.91257199909336,63.9548226345813,93.8643367648023,1.32,4.84,10.9145,18.42,20.91,22.35,23.76,25.11,26.14,27.05,27.78,28.38,29.21,30,30.86,31.71,32.82,34.19,36.16,9.14381259938036,12.707571758766,15.8484008983165,17.8564988607118,23.3250823729981,36.7785190892251,60.183925380719,83.1893513433766,95.6641476648689
"53",49.67,26.778741966581,11.2030017953134,-0.510190629761189,2.7479309118771,0.947452259738157,59.5831385837813,97.0013437719093,4.5815,9.88,13.9,17,19.6,22.1,24.78,26.65,27.76,28.61,29.71,30.75,31.65,33.18,34.82,35.94,37.54,39.67,43.5185,5.28314564071104,10.0389991674335,16.386953536947,25.5451849904328,35.0904868323036,55.4021880431766,74.8521098987774,90.0997619151951,95.92042417072
"54",33.7,11.6217438538456,10.1032004612537,0.566316831768213,1.83835875790533,0.924307907562501,40.8164799639125,82.546425080821,0.41,1.12,1.72,2.28,2.81,3.41,4.03,4.81,5.87,7.54,9.28,12.2200000000001,16.09,19.4650000000001,21.05,22.64,24.76,27.55,29.54,29.6510243719065,47.8353486623645,57.0879017605413,61.8607856650586,65.9632855084268,72.3438381053819,82.513626965729,88.9280120293215,96.6042227930581
"55",39.25,21.046968385223,8.84880687387965,-0.642756930842039,2.74714462153633,0.935129949077541,58.8027452503839,95.7045341028914,2.74,7.25,10.6,13.102,15.91,18.06,19.55,20.794,21.9,23,23.968,24.76,25.65,26.38,27.16,28,29.12,31.16,33.61,5.98453455675596,11.047802279118,17.4393221844014,24.6633121207637,35.2264318484535,52.7582507029747,76.9923782743821,90.3562971733018,98.0131715258251
"56",41.45,27.2481865137523,9.06136502656272,-1.21070938711825,4.23776152877244,0.894529332264799,56.6527696751519,96.6462243344385,6.39,15.68,19.52,21.57,23.03,24,25.15,26.32,27.67,29.19,30.6,31.77,32.69,33.45,34.3,35,35.76,36.43,37.33,4.18480890179003,5.82685904550499,7.88013318534961,10.556646461197,17.9800221975583,33.8840035288426,49.3525712171661,68.1706935314039,94.9087908022425
"57",35.89,17.9579856038471,9.47805149586049,-0.31094029904818,1.84179899202356,0.968053460064192,54.927562697833,94.7178597516435,1.85,4.08,5.87,7.42,9.24,11.47,14.28,16.08,17.93,19.65,21.43,22.81,24.03,25.06,25.95,26.86,28.14,29.39,31.05,8.77022111975164,19.2129171675975,28.5705589627307,35.1417570878544,45.0350778408486,55.3438541492292,70.3215595562387,87.2274048485033,98.1342545388139
"58",42.18,20.7993395112383,11.9086364758246,-0.297653409299906,1.88089890617853,0.957610928287936,55.613153733763,89.1779917138683,0.3,1.53,5.24300000000001,8.52,11.05,13.186,15.907,18.97,21.02,22.44,23.85,25.402,28.14,29.57,31.29,32.8,34.06,35.43,37.05,13.8805492174052,19.8550898682999,28.9119730995557,36.5017413234058,45.1943477042552,59.8154597494095,69.8630959529242,83.9938353148393,97.2218886353629
"59",33.74,13.4196161681407,6.03163792616821,-0.288762368471827,3.25940420318311,0.871584562436902,58.5560965914737,94.0127198648514,1.61,3.84,6.33,8.28,10.21,11.42,12.38,13.2,13.96,14.56,15.08,15.56,16.08,16.56,17.15,17.81,18.74,19.94,21.7345,9.12546583850932,15.8385093167702,24.767701863354,41.9180124223602,72.8149068322981,91.3689440993789,97.6,98.6509316770186,99.0534161490683
"60",42.68,19.3636904266556,10.6844010626173,0.490002348853497,2.20939675777404,0.952089780972079,39.7320999903978,98.1851934833403,4.11,7.15,9.19,10.67,11.81,12.64,13.32,14.23,15.46,16.8,18.16,19.3,20.82,24.34,26.96,31.12,34.43,36.96,38.83,5.31967672241338,13.3424021765224,31.3371209090182,50.9914379451068,65.7197727454589,72.4285828598864,78.444426662399,84.4522685444507,93.6448747699448
"61",42.84,21.8774555497806,10.0402457485434,-0.371434392096729,2.13198196090643,0.955801250374205,54.6783024911462,97.6913686195351,3.93,6.62,9.09,11.99,14.47,16.59,18.39,20.11,21.77,23.53,24.84,26.03,27.55,28.7740000000001,29.87,31.06,32.89,34.69,36.17,5.61572305758352,14.0102983126239,21.8162258859933,31.3482086737901,44.0542957984818,58.537204467437,75.5052458540831,88.7286660542475,99.546729197892
"62",56.97,31.0025172019783,12.3531528685778,0.120616836830369,2.76088271366177,0.941210985105403,43.5866854602624,98.9132519870891,10.44,16.32,19.55,21.88,23.55,24.83,26.21,27.16,27.98,29.12,30.4790000000001,32.45,34.6,36.43,39.03,41.11,46.07,48.9,54.16,2.36701196016614,5.57307044321006,10.8058516405611,22.3148009141103,47.3402392033228,63.9743782214883,76.6760079400824,84.3483627750254,91.8105389581144
"63",36.22,17.0298437616693,8.34808435100218,0.0183187828349195,2.36945837050383,0.959121745773593,51.0836606969484,96.406219659741,3.134,5.57,7.51,9.41,11.01,12.34,13.54,14.66,15.97,17.27,18.52,19.68,20.83,21.81,22.71,23.81,25.45,28.41,31.79,5.97478640138615,14.3424747565275,24.4323952918683,39.3245503973233,53.4026408555894,69.603274182948,84.7224711716556,90.5075581047978,96.340443329151
